orig	orig_type	dest	dest_type	int
GPX1	gvirus	SOD2	gcancer	cov2
PRKAR2A	gvirus	MAPK1	gcancer	cov2
GGH	gvirus	MAPK1	gcancer	cov2
RHOA	gvirus	MAPK1	gcancer	cov2
RHOA	gvirus	FOS	gcancer	cov2
RHOA	gvirus	RRAS	gcancer	cov2
PTGES2	gvirus	MAPK1	gcancer	cov2
RAB2A	gvirus	MAPK1	gcancer	cov2
PRKACA	gvirus	MAPK1	gcancer	cov2
PRKACA	gvirus	FOS	gcancer	cov2
CYB5R3	gvirus	MAPK1	gcancer	cov2
AP2A2	gvirus	MAPK1	gcancer	cov2
GNB1	gvirus	MAPK1	gcancer	cov2
GNB1	gvirus	RRAS	gcancer	cov2
PRKAR2A	gvirus	PPP1R1B	gcancer	cov2
NUP214	gvirus	HDAC6	gcancer	cov2
RHOA	gvirus	CCNE1	gcancer	cov2
DDX21	gvirus	EP300	gcancer	cov2
CSNK2B	gvirus	PPP1R1B	gcancer	cov2
TLE3	gvirus	EP300	gcancer	cov2
PTGES2	gvirus	EP300	gcancer	cov2
PRKACA	gvirus	PPP1R1B	gcancer	cov2
ATP6V1A	gvirus	CSE1L	gcancer	cov2
SNIP1	gvirus	EP300	gcancer	cov2
CSNK2B	gvirus	RUNX1	gcancer	cov2
UBAP2L	gvirus	PCGF2	gcancer	cov2
PRKACA	gvirus	PTGDR	gcancer	cov2
GNB1	gvirus	PTGDR	gcancer	cov2
STK3	gvirus	RASSF1	gcancer	cov2
PPFIBP1	gvirus	PTPRD	gcancer	cov2
RALA	gvirus	SRC	gcancer	cov2
RHOA	gvirus	AKT1	gcancer	cov2
RHOA	gvirus	SRC	gcancer	cov2
GDF15	gvirus	AKT1	gcancer	cov2
PVR	gvirus	SRC	gcancer	cov2
LOX	gvirus	AKT1	gcancer	cov2
GNB1	gvirus	AKT1	gcancer	cov2
GNB1	gvirus	CASR	gcancer	cov2
GNB1	gvirus	SRC	gcancer	cov2
COMMD8	gvirus	SKP2	gcancer	cov2
RHOA	gvirus	SOS1	gcancer	cov2
RHOA	gvirus	ERBB2	gcancer	cov2
COMMD3	gvirus	SKP2	gcancer	cov2
TLE3	gvirus	APC	gcancer	cov2
PRKACA	gvirus	ERBB2	gcancer	cov2
CCDC22	gvirus	SKP2	gcancer	cov2
COMMD9	gvirus	SKP2	gcancer	cov2
TRIM32	gvirus	SKP2	gcancer	cov2
USP13	gvirus	SKP2	gcancer	cov2
GNB1	gvirus	SOS1	gcancer	cov2
STK3	gvirus	RASSF2	gcancer	cov2
COMMD8	gvirus	DTL	gcancer	cov2
COMMD8	gvirus	FBXO31	gcancer	cov2
RHOA	gvirus	DCC	gcancer	cov2
DCAF7	gvirus	DTL	gcancer	cov2
COMMD3	gvirus	DTL	gcancer	cov2
COMMD3	gvirus	FBXO31	gcancer	cov2
BRD4	gvirus	TP53	gcancer	cov2
CSNK2B	gvirus	TP53	gcancer	cov2
GDF15	gvirus	TP53	gcancer	cov2
CCDC22	gvirus	DTL	gcancer	cov2
CCDC22	gvirus	FBXO31	gcancer	cov2
COMMD9	gvirus	DTL	gcancer	cov2
COMMD9	gvirus	FBXO31	gcancer	cov2
TRIM32	gvirus	FBXO31	gcancer	cov2
TRIM32	gvirus	TP53	gcancer	cov2
TIMM10B	gvirus	TAZ	gcancer	cov2
COMMD8	gvirus	FBXW7	gcancer	cov2
RAB10	gvirus	RAB31	gcancer	cov2
PRKAR2A	gvirus	BCL2	gcancer	cov2
RALA	gvirus	HRAS	gcancer	cov2
RHOA	gvirus	HRAS	gcancer	cov2
RHOA	gvirus	EGF	gcancer	cov2
COMMD3	gvirus	FBXW7	gcancer	cov2
RAB2A	gvirus	RAB31	gcancer	cov2
RAB7A	gvirus	RAB31	gcancer	cov2
PRKACA	gvirus	FOXO3	gcancer	cov2
PLAT	gvirus	EGF	gcancer	cov2
CCDC22	gvirus	FBXW7	gcancer	cov2
COMMD9	gvirus	FBXW7	gcancer	cov2
TRIM32	gvirus	CDC20	gcancer	cov2
TRIM32	gvirus	FBXW7	gcancer	cov2
TRIM32	gvirus	UBE2C	gcancer	cov2
