gene	oncg	tsg	driv	count
EGFR	1	1	1	1289
KRAS	1	0	1	1153
ALK	1	0	1	266
BRAF	1	0	1	158
ROS1	1	0	1	137
TP53	1	1	1	195
RET	1	0	1	138
MYC	1	1	1	219
CD274	1	0	1	70
CADM1	0	1	0	59
MET	1	0	0	47
ERBB2	1	0	1	69
STK11	1	1	1	77
MYCL	1	0	1	31
TAZ	1	0	1	31
NKX2-1	1	0	1	35
MYCN	1	0	1	26
PTGDR	1	1	0	25
CDKN2A	1	1	1	34
METTL3	1	0	0	21
PTEN	0	1	1	29
CCND1	1	0	1	22
NFIB	1	0	1	15
SOX2	1	0	0	24
TRAF6	1	0	0	14
RB1	0	1	1	23
KIT	1	0	1	18
MARK2	1	0	0	14
YAP1	1	1	1	19
RASSF1	0	1	0	18
CDK16	1	0	0	13
EML4	1	0	0	11
STAT3	1	1	1	28
JUN	1	0	0	14
KLF4	0	1	0	9
RUNX3	0	1	0	7
ABL1	1	0	0	12
PIK3CA	1	0	1	21
CCN1	0	1	0	9
RBM5	0	1	0	6
GPRC5A	0	1	0	9
FHIT	1	1	0	15
TUSC2	0	1	0	10
SEMA3B	0	1	0	6
ASCL1	1	0	1	13
NRAS	1	0	1	18
HGF	1	0	0	12
FGFR1	1	0	1	18
CRKL	1	0	0	11
WT1	1	0	0	6
TTF1	1	1	0	12
DLC1	0	1	0	7
WNT7A	0	1	0	7
PTPRD	0	1	0	5
IGFBP7	0	1	0	5
SUSD2	0	1	0	5
RAB37	0	1	0	5
MYO18B	0	1	0	5
CACNA2D3	0	1	0	5
SEMA3F	0	1	0	5
PRKCI	1	0	0	8
AKT1	1	0	1	8
EZH2	1	0	1	15
PRRT2	1	0	0	8
BRF2	1	0	0	7
TRIM11	1	0	0	5
SRC	1	0	0	5
NOTCH1	1	1	0	6
GPC5	0	1	0	4
GJB5	0	1	0	4
SOX7	0	1	0	4
PRKN	0	1	0	6
LRP1B	0	1	0	4
EGR1	0	1	0	4
DUSP6	0	1	0	4
SOX30	0	1	0	4
VGLL4	0	1	0	4
SHISA3	0	1	0	4
CCN2	0	1	0	4
SETD2	0	1	0	4
RASSF8	0	1	0	4
UBA7	0	1	0	4
TCF21	0	1	0	4
PSMA6	1	0	0	4
PDCD1	1	0	1	6
MAPK1	1	0	1	8
CRNDE	1	0	0	6
ZYG11A	1	0	0	4
MTDH	1	0	0	4
CDH1	1	1	1	8
ZEB2	1	0	0	4
TWIST1	1	0	0	4
RAF1	1	0	0	7
MUC1	1	0	0	6
PRR11	1	0	0	4
ZNF322	1	0	0	4
NKX2-8	1	0	0	4
ZEB1	1	0	1	9
SETDB1	1	0	0	4
ARCN1	0	0	1	4
RBL2	0	1	0	3
CREBBP	0	1	0	3
MAP2K4	0	1	0	3
SIRT3	0	1	0	3
PTPN13	0	1	0	3
ITGBL1	0	1	0	3
HOXA5	0	1	0	3
CAV1	0	1	0	7
BAP1	0	1	0	3
PER1	0	1	0	3
MEN1	0	1	0	3
LIMD1	0	1	0	5
KL	0	1	0	3
APC	0	1	1	7
HYAL2	0	1	0	3
HPGD	0	1	0	3
DNMT3A	0	1	0	3
DMBT1	0	1	0	3
DACH1	0	1	0	3
CYLD	0	1	0	3
PTRH2	0	1	0	3
SASH1	0	1	0	3
MAP3K20	0	1	0	3
BHLHE41	0	1	0	3
WWOX	0	1	0	3
TWSG1	0	1	0	3
TGFBI	0	1	0	5
SMARCA4	0	1	0	3
SAMSN1	0	1	0	3
BCL2	1	0	0	8
POU3F2	1	0	0	3
MYB	1	0	0	3
KITLG	1	0	0	3
GRP	1	0	0	3
SYK	1	1	0	7
RAP1A	1	0	0	3
PCNA	1	0	0	3
MMP2	1	0	0	3
LATS2	1	1	0	5
FOXM1	1	0	0	6
AIM2	1	0	0	3
ETS1	1	0	0	3
ERBB3	1	0	1	5
ECT2	1	0	0	3
DRAM2	1	0	0	3
LIMD2	1	0	0	3
CXCR4	1	0	0	3
YEATS4	1	0	0	3
FTO	1	0	0	3
CPNE1	1	0	0	3
MTUS2	1	0	0	3
SIRT7	1	0	0	3
UCHL1	1	0	0	5
SOX9	1	0	0	5
SOX5	1	0	0	3
PTTG1	1	0	0	3
PTGS2	1	0	0	3
YBX1	1	0	0	3
ATF3	1	0	0	3
NFKB1	1	0	0	3
LMO1	1	0	0	3
HK2	1	0	0	3
GLS	1	0	0	3
FOS	1	0	0	5
ERBB4	1	0	0	5
FAM83A	1	0	0	3
RIOX2	1	0	0	3
ADGRF1	1	0	0	3
TDP2	1	0	0	3
UBE2C	1	0	0	5
GOLPH3	1	0	0	3
KIF4A	1	0	0	3
YY1	1	0	0	3
TMPO	1	0	0	3
TLE1	1	0	0	3
ROCK1	1	0	0	3
KIF5B	1	0	1	7
AXL	0	0	1	3
IL6	1	0	1	5
KEAP1	0	1	1	5
FOXD3	0	1	0	4
ETS2	0	1	0	4
CDH13	0	1	0	4
CHD5	0	1	0	4
CYGB	0	1	0	4
RBMS3	1	1	0	4
NF1	0	1	1	4
BCL2L1	1	0	0	4
HMGA2	1	0	1	6
TNK2	1	0	0	4
DDR2	1	0	1	4
EGF	1	0	1	4
VEGFA	1	0	1	4
