gene	oncg	tsg	driv	count
RUNX3	1	1	0	97
MYC	1	0	0	60
ERBB2	1	0	0	44
TP53	1	1	0	26
EGFR	1	0	0	23
TFF1	1	1	0	20
KRAS	1	0	1	24
KLF4	0	1	0	17
CDH1	1	1	1	42
MET	1	0	1	25
FGFR2	1	0	0	13
PTEN	0	1	0	14
TCF3	0	1	0	8
HGF	1	0	0	8
STAT3	1	0	0	8
APC	0	1	0	7
GKN1	1	1	0	9
ARID1A	0	1	0	7
S100A8	1	0	0	7
IRX1	0	1	0	6
NOTCH1	1	0	0	6
TRIM29	1	0	0	6
YAP1	1	0	1	11
GRIK2	0	1	0	5
CDKN2A	1	1	0	7
SYK	0	1	0	5
MACC1	1	0	0	5
SALL4	1	0	0	5
RRAS	1	0	0	5
OSR1	0	1	0	4
SMAD4	0	1	0	4
LZTFL1	0	1	0	4
LRP1B	0	1	0	4
LOX	0	1	0	4
KL	1	1	0	6
SETD7	0	1	0	4
GRHL2	0	1	0	4
LARP7	0	1	0	4
RPRM	1	1	0	6
FAT4	0	1	0	4
KLF6	0	1	0	4
CDX2	1	1	0	8
CDKN1A	0	1	0	4
BCL6B	0	1	0	4
PIK3CA	1	0	0	4
ZNF703	1	0	0	4
PRR11	1	0	0	4
CD274	1	0	0	4
CDH17	1	0	0	4
TRIM25	1	0	0	4
SOX2	1	1	0	7
ROS1	1	0	0	4
RASSF1	0	1	0	3
RASAL1	0	1	0	3
PAX5	0	1	0	3
PDX1	0	1	0	3
IGFBP7	0	1	0	3
ANXA6	0	1	0	3
FPR1	0	1	0	3
EPB41L3	0	1	0	3
RNF180	0	1	0	3
CXXC4	0	1	0	3
ZNF471	0	1	0	3
CDK5RAP3	0	1	0	3
CDK5	0	1	0	3
ANGPTL4	0	1	0	3
SIRT4	0	1	0	3
TES	1	1	0	5
ZIC1	0	1	0	3
TOB1	0	1	0	3
TMEFF2	0	1	0	3
TCF21	0	1	0	3
RECK	0	1	0	3
RUNX1	0	1	0	3
SPARC	1	1	0	5
PTGDR	1	0	0	3
PPP1R1B	1	0	0	3
MARK2	1	0	0	3
DTL	1	0	0	3
GSE1	1	0	0	3
SMYD2	1	0	0	3
UBE2C	1	0	0	3
CCND1	1	0	0	3
CBX7	1	0	0	3
CASR	1	0	0	3
SIRT7	1	0	0	3
ASPN	1	0	0	3
TAZ	1	0	0	3
SOD2	1	0	0	3
EP300	0	1	0	4
PHB	1	1	0	6
